iter	RMSE
0	1718.981731
1	1718.070202
2	1717.235125
3	1716.274043
4	1715.346531
5	1714.50401
6	1713.533551
7	1712.618619
8	1711.658011
9	1710.70153
10	1709.799071
11	1708.856965
12	1707.943294
13	1707.00509
14	1706.115459
15	1705.165727
16	1704.262223
17	1703.342669
18	1702.452494
19	1701.554952
20	1700.671163
21	1699.735827
22	1698.8572
23	1697.938155
24	1697.006501
25	1696.121002
26	1695.221942
27	1694.344548
28	1693.448102
29	1692.554248
30	1691.65493
31	1690.730198
32	1689.799719
33	1688.913034
34	1687.997911
35	1687.066824
36	1686.174576
37	1685.286836
38	1684.400689
39	1683.53136
40	1682.638822
41	1681.729332
42	1680.834616
43	1679.916786
44	1679.023909
45	1678.101242
46	1677.188929
47	1676.318109
48	1675.526312
49	1674.670178
50	1673.878063
51	1673.017261
52	1672.154445
53	1671.307254
54	1670.461927
55	1669.61708
56	1668.713072
57	1667.846454
58	1666.96504
59	1666.08525
60	1665.200103
61	1664.350018
62	1663.526222
63	1662.64264
64	1661.760846
65	1660.86043
66	1660.009602
67	1659.172354
68	1658.284345
69	1657.457843
70	1656.681272
71	1655.838242
72	1655.009891
73	1654.173267
74	1653.310245
75	1652.488266
76	1651.660797
77	1650.789577
78	1649.955367
79	1649.146856
80	1648.273207
81	1647.434694
82	1646.600993
83	1645.841739
84	1644.967974
85	1644.146462
86	1643.287025
87	1642.485625
88	1641.663855
89	1640.83088
90	1640.025602
91	1639.173622
92	1638.302347
93	1637.489356
94	1636.75346
95	1635.935191
96	1635.098686
97	1634.303342
98	1633.483086
99	1632.633716
100	1631.799434
101	1630.994092
102	1630.178935
103	1629.369939
104	1628.524091
105	1627.674357
106	1626.826967
107	1626.048686
108	1625.251381
109	1624.451596
110	1623.659232
111	1622.850588
112	1622.01803
113	1621.189734
114	1620.368823
115	1619.54352
116	1618.713472
117	1617.885559
118	1617.065713
119	1616.261491
120	1615.553901
121	1614.760868
122	1613.939015
123	1613.174067
124	1612.385912
125	1611.601184
126	1610.781674
127	1610.018626
128	1609.226089
129	1608.403798
130	1607.638607
131	1606.825668
132	1606.04003
133	1605.280577
134	1604.479694
135	1603.672392
136	1602.851929
137	1602.068581
138	1601.303371
139	1600.497888
140	1599.742125
141	1598.936287
142	1598.172791
143	1597.371856
144	1596.585767
145	1595.846587
146	1595.060794
147	1594.315994
148	1593.520585
149	1592.779139
150	1592.037726
151	1591.288626
152	1590.602564
153	1589.852073
154	1589.067987
155	1588.30478
156	1587.560484
157	1586.880147
158	1586.101619
159	1585.354893
160	1584.599937
161	1583.81203
162	1583.0843
163	1582.348873
164	1581.602739
165	1580.817638
166	1580.084754
167	1579.359926
168	1578.624886
169	1577.852501
170	1577.081531
171	1576.336384
172	1575.614991
173	1574.885455
174	1574.120847
175	1573.367981
176	1572.658551
177	1571.891396
178	1571.132259
179	1570.408068
180	1569.69216
181	1568.916398
182	1568.157254
183	1567.428441
184	1566.676821
185	1565.937113
186	1565.208944
187	1564.498285
188	1563.744276
189	1563.001938
190	1562.244707
191	1561.518469
192	1560.811106
193	1560.065533
194	1559.309613
195	1558.605044
196	1557.854375
197	1557.124509
198	1556.409686
199	1555.663111
200	1554.924087
201	1554.234108
202	1553.519713
203	1552.781171
204	1552.151824
205	1551.415751
206	1550.727786
207	1550.009551
208	1549.323273
209	1548.684574
210	1547.975135
211	1547.247792
212	1546.56617
213	1545.87211
214	1545.160013
215	1544.429196
216	1543.702795
217	1542.978786
218	1542.292138
219	1541.566252
220	1540.844965
221	1540.128469
222	1539.44555
223	1538.765832
224	1538.088083
225	1537.366025
226	1536.753244
227	1536.042278
228	1535.350469
229	1534.677596
230	1533.993948
231	1533.287084
232	1532.614022
233	1531.937933
234	1531.24217
235	1530.537911
236	1529.831597
237	1529.162017
238	1528.506635
239	1527.801465
240	1527.119234
241	1526.441698
242	1525.789208
243	1525.079072
244	1524.391375
245	1523.732245
246	1523.03679
247	1522.344344
248	1521.700442
249	1521.003148
250	1520.305609
251	1519.637624
252	1518.928358
253	1518.273858
254	1517.591827
255	1516.926394
256	1516.283229
257	1515.641245
258	1514.947615
259	1514.245366
260	1513.608082
261	1512.955771
262	1512.272934
263	1511.627517
264	1510.993747
265	1510.33235
266	1509.682195
267	1509.011817
268	1508.336675
269	1507.686038
270	1507.020641
271	1506.356743
272	1505.727997
273	1505.075775
274	1504.409068
275	1503.778928
276	1503.13698
277	1502.49189
278	1501.868518
279	1501.206645
280	1500.563841
281	1499.907166
282	1499.334173
283	1498.695049
284	1498.039664
285	1497.420233
286	1496.818215
287	1496.173967
288	1495.508641
289	1494.861784
290	1494.248008
291	1493.628505
292	1492.97289
293	1492.321921
294	1491.704236
295	1491.070032
296	1490.42653
297	1489.814445
298	1489.16085
299	1488.519437
300	1487.915328
301	1487.37088
302	1486.728215
303	1486.135484
304	1485.539946
305	1484.903955
306	1484.265125
307	1483.662503
308	1483.061369
309	1482.423312
310	1481.785989
311	1481.194133
312	1480.586622
313	1480.04467
314	1479.410667
315	1478.777697
316	1478.152169
317	1477.557676
318	1477.013273
319	1476.391572
320	1475.808717
321	1475.211836
322	1474.606659
323	1474.015576
324	1473.433251
325	1472.811246
326	1472.201845
327	1471.601169
328	1470.997052
329	1470.426697
330	1469.87938
331	1469.294755
332	1468.694898
333	1468.12459
334	1467.510066
335	1466.939564
336	1466.356482
337	1465.742803
338	1465.133801
339	1464.552259
340	1463.962919
341	1463.391423
342	1462.819679
343	1462.260994
344	1461.681064
345	1461.072784
346	1460.46735
347	1459.891677
